epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,253.961,0.7033,0.54985,1.10002,0.75853,0.73968,0.77402,0.54042,1.14906,0.93983,1.5556,0.000615542,0.000615542,0.000615542
117,255.979,0.70977,0.57079,1.06229,0.81072,0.75783,0.78675,0.55041,1.15186,0.96057,1.51548,0.000608468,0.000608468,0.000608468
118,257.99,0.68747,0.5619,1.0568,0.84646,0.71691,0.78969,0.55466,1.14875,0.94172,1.51244,0.000601395,0.000601395,0.000601395
119,259.978,0.66301,0.54574,1.05464,0.74243,0.80045,0.82394,0.57368,1.12566,0.9636,1.50642,0.000594321,0.000594321,0.000594321
120,261.937,0.6948,0.55814,1.07552,0.8149,0.79666,0.83536,0.5853,1.11634,0.92123,1.50802,0.000587248,0.000587248,0.000587248
121,263.978,0.68205,0.57987,1.06998,0.80076,0.82918,0.8205,0.57818,1.1088,0.83861,1.51406,0.000580174,0.000580174,0.000580174
122,265.997,0.67928,0.55088,1.05688,0.7564,0.80229,0.80623,0.55706,1.12817,0.99848,1.50941,0.0005731,0.0005731,0.0005731
123,268.045,0.68412,0.55053,1.07675,0.76994,0.81451,0.79912,0.55367,1.15419,1.02663,1.56898,0.000566027,0.000566027,0.000566027
124,270.059,0.66151,0.53246,1.05349,0.82192,0.78125,0.81434,0.54199,1.20408,0.9255,1.61389,0.000558953,0.000558953,0.000558953
125,272.081,0.66964,0.53533,1.06012,0.7077,0.73029,0.77414,0.52168,1.19178,1.05097,1.60066,0.00055188,0.00055188,0.00055188
126,274.071,0.66841,0.53883,1.0621,0.82119,0.76232,0.80999,0.55519,1.19037,0.8982,1.57418,0.000544806,0.000544806,0.000544806
127,276.019,0.68696,0.53324,1.06366,0.81189,0.7916,0.82319,0.56351,1.16398,0.82187,1.53757,0.000537733,0.000537733,0.000537733
128,277.993,0.685,0.52917,1.06154,0.73976,0.80799,0.80722,0.56107,1.13763,0.89453,1.52899,0.000530659,0.000530659,0.000530659
129,280.135,0.65711,0.52281,1.06318,0.81995,0.79247,0.83012,0.59661,1.0987,0.88263,1.49707,0.000523586,0.000523586,0.000523586
130,282.162,0.64805,0.53175,1.0575,0.74098,0.7957,0.81314,0.5785,1.12808,0.88438,1.5351,0.000516512,0.000516512,0.000516512
131,284.137,0.64923,0.52192,1.06115,0.68376,0.77279,0.78203,0.52372,1.15426,0.96366,1.55071,0.000509438,0.000509438,0.000509438
132,286.285,0.64491,0.5315,1.06416,0.765,0.61654,0.71505,0.4766,1.21733,1.01826,1.63943,0.000502365,0.000502365,0.000502365
133,288.296,0.60861,0.49056,1.02459,0.79322,0.76306,0.78698,0.53043,1.15081,0.86304,1.56235,0.000495291,0.000495291,0.000495291
134,290.373,0.64791,0.50565,1.06318,0.7726,0.79745,0.8194,0.56561,1.13212,0.8665,1.54554,0.000488218,0.000488218,0.000488218
135,292.495,0.64896,0.54506,1.07341,0.83855,0.76602,0.8063,0.54891,1.15979,0.9298,1.55413,0.000481144,0.000481144,0.000481144
136,294.573,0.64778,0.5307,1.05786,0.84135,0.81204,0.84935,0.58387,1.14747,0.88123,1.52887,0.000474071,0.000474071,0.000474071
137,296.676,0.66041,0.53477,1.06118,0.84291,0.77815,0.84756,0.58386,1.13713,0.85129,1.55622,0.000466997,0.000466997,0.000466997
138,298.633,0.6241,0.50293,1.03352,0.82085,0.77247,0.84898,0.563,1.17847,0.92016,1.59367,0.000459924,0.000459924,0.000459924
139,300.714,0.62193,0.52207,1.0497,0.79645,0.74521,0.82125,0.52219,1.22806,0.99318,1.66848,0.00045285,0.00045285,0.00045285
140,302.787,0.6296,0.50093,1.05305,0.80619,0.75565,0.83996,0.56859,1.1849,0.91249,1.61054,0.000445777,0.000445777,0.000445777
141,304.951,0.63644,0.49421,1.04117,0.87434,0.77873,0.86624,0.61177,1.13184,0.8461,1.54617,0.000438703,0.000438703,0.000438703
142,307.113,0.61195,0.50094,1.04398,0.85779,0.79453,0.86426,0.59973,1.1082,0.82576,1.5257,0.000431629,0.000431629,0.000431629
143,309.095,0.60715,0.49313,1.04278,0.76613,0.82166,0.85449,0.60771,1.10885,0.84536,1.5231,0.000424556,0.000424556,0.000424556
144,311.152,0.62133,0.49891,1.03483,0.84168,0.75096,0.85668,0.61196,1.09271,0.86463,1.5146,0.000417482,0.000417482,0.000417482
145,313.177,0.58527,0.4783,1.00932,0.76717,0.79647,0.83644,0.59685,1.17289,0.79241,1.59207,0.000410409,0.000410409,0.000410409
146,315.215,0.62317,0.47375,1.03269,0.74982,0.80356,0.82475,0.56727,1.16689,0.87599,1.59599,0.000403335,0.000403335,0.000403335
147,317.239,0.61222,0.48058,1.03643,0.85516,0.76611,0.85464,0.59679,1.12001,0.80693,1.55758,0.000396262,0.000396262,0.000396262
