epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,269.007,0.92563,0.75282,1.23192,0.91536,0.83333,0.90297,0.57473,1.29801,1.20222,1.72643,0.00160026,0.00160026,0.00160026
91,270.879,0.94583,0.75401,1.23971,0.91271,0.75,0.87662,0.55397,1.29545,1.21115,1.74326,0.00159191,0.00159191,0.00159191
92,272.79,0.91889,0.78458,1.23025,0.84396,0.82634,0.87796,0.53955,1.28637,1.2826,1.78613,0.00158349,0.00158349,0.00158349
93,274.702,0.9492,0.88169,1.25472,0.92024,0.80131,0.88723,0.5326,1.44813,1.17273,1.87925,0.00157501,0.00157501,0.00157501
94,276.564,0.93015,0.84579,1.24606,0.88419,0.77778,0.86825,0.55339,1.3015,1.10364,1.76551,0.00156646,0.00156646,0.00156646
95,278.424,0.94235,0.81035,1.24074,0.96401,0.74407,0.84236,0.53016,1.33687,1.13703,1.77262,0.00155786,0.00155786,0.00155786
96,280.279,0.88511,0.79195,1.2055,0.86172,0.77895,0.88641,0.59824,1.21852,0.91115,1.68624,0.00154919,0.00154919,0.00154919
97,282.138,0.87322,0.76909,1.19569,0.93089,0.875,0.92236,0.62152,1.28515,0.90806,1.80513,0.00154047,0.00154047,0.00154047
98,284.049,0.85472,0.74331,1.17892,0.85686,0.83141,0.90076,0.59713,1.27465,0.95069,1.74287,0.00153169,0.00153169,0.00153169
99,285.924,0.87958,0.78265,1.20647,0.89655,0.79167,0.85514,0.49898,1.48966,1.12473,1.98519,0.00152285,0.00152285,0.00152285
100,287.825,0.90732,0.75582,1.2246,0.93979,0.79167,0.92065,0.55609,1.34067,0.94227,1.79248,0.00151395,0.00151395,0.00151395
101,289.671,0.86886,0.72324,1.18636,0.83984,0.88889,0.9129,0.57598,1.1863,1.09728,1.65484,0.001505,0.001505,0.001505
102,291.533,0.86765,0.77299,1.16603,0.89907,0.875,0.93278,0.57162,1.27167,1.06567,1.74943,0.00149599,0.00149599,0.00149599
103,293.407,0.94904,0.79742,1.26112,0.94443,0.7081,0.85938,0.54279,1.28335,1.27164,1.77211,0.00148694,0.00148694,0.00148694
104,295.283,0.86718,0.72579,1.17038,0.8592,0.86111,0.90915,0.58321,1.31325,1.07011,1.77258,0.00147783,0.00147783,0.00147783
105,297.178,0.88524,0.75532,1.18016,0.94654,0.73611,0.8785,0.5552,1.32949,1.15197,1.79283,0.00146866,0.00146866,0.00146866
106,299.056,0.83976,0.72663,1.17485,0.84593,0.83887,0.87209,0.5799,1.2392,0.98804,1.69784,0.00145945,0.00145945,0.00145945
107,300.959,0.88003,0.70665,1.21119,0.92144,0.81457,0.89342,0.61614,1.21103,1.02593,1.68389,0.00145019,0.00145019,0.00145019
108,302.868,0.85841,0.6622,1.17467,0.8367,0.875,0.91654,0.62875,1.16059,1.03677,1.62702,0.00144088,0.00144088,0.00144088
109,304.733,0.81799,0.69446,1.16677,0.88253,0.83475,0.90842,0.64792,1.14625,0.97661,1.60874,0.00143152,0.00143152,0.00143152
110,306.593,0.85146,0.70908,1.16611,0.8844,0.79167,0.90369,0.60791,1.18181,1.09464,1.64517,0.00142212,0.00142212,0.00142212
111,308.46,0.77767,0.64136,1.16224,0.94232,0.86111,0.918,0.59768,1.30804,0.97682,1.80657,0.00141267,0.00141267,0.00141267
112,310.332,0.83243,0.72003,1.18423,0.89206,0.84722,0.89191,0.55172,1.40369,1.02677,1.88491,0.00140318,0.00140318,0.00140318
113,312.197,0.78372,0.66069,1.13802,0.93171,0.81944,0.89399,0.58051,1.41252,1.00404,1.87762,0.00139364,0.00139364,0.00139364
114,314.086,0.90226,0.76744,1.20503,0.91666,0.80556,0.88299,0.49361,1.61798,1.13542,2.0443,0.00138406,0.00138406,0.00138406
115,315.956,0.81139,0.66273,1.14668,0.80835,0.80556,0.88314,0.50893,1.47688,1.15844,1.88626,0.00137444,0.00137444,0.00137444
116,317.834,0.84281,0.64166,1.19601,0.91631,0.79167,0.88905,0.57133,1.34833,1.09923,1.81436,0.00136478,0.00136478,0.00136478
117,319.723,0.82705,0.67138,1.17583,0.91469,0.89357,0.92796,0.5998,1.28138,1.05215,1.71065,0.00135509,0.00135509,0.00135509
118,321.578,0.77467,0.64671,1.1143,0.93253,0.86111,0.94315,0.61643,1.21392,0.84663,1.64793,0.00134535,0.00134535,0.00134535
119,323.489,0.80031,0.66433,1.13988,0.89787,0.875,0.90186,0.5182,1.40653,1.00869,1.84585,0.00133558,0.00133558,0.00133558
120,325.351,0.80218,0.67603,1.14611,0.85018,0.78821,0.85856,0.50918,1.49416,1.23026,1.96188,0.00132577,0.00132577,0.00132577
121,327.251,0.84596,0.70704,1.20411,0.8692,0.83069,0.88571,0.56026,1.371,1.04581,1.83877,0.00131593,0.00131593,0.00131593
122,329.157,0.84317,0.70012,1.15969,0.90657,0.86111,0.92498,0.59089,1.29818,0.95213,1.74857,0.00130605,0.00130605,0.00130605
123,331.044,0.82477,0.6723,1.19192,0.90137,0.88847,0.93257,0.59949,1.24429,0.94765,1.6732,0.00129614,0.00129614,0.00129614
